keys,ts,en,it,pt,
TA_3_COLOR_DESC,TA_3_COLOR_DESC,Same as standard but features 3 block colors instead of 2. The Multi and Wipe special blocks are available,"Simile a standard ma con 3 colori invece di 2. In più, blocchi multi e ""scanner"" sono disponibili","Igual ás regras padrão, mas apresenta 3 cores de blocos em vez de 2. Também estão disponíveis blocos especiais ""multi""e ""limpar"".",
TA_EXPERT,TA_EXPERT,Expert,Esperto,Especialista,
TA_EXPERT_DESC,TA_EXPERT_DESC,Hard rules featuring garbage and chaos blocks. Only the laser special block is available,"Regole ristrettive con blocchi scuri e casuali. Inoltre, solo ""laser"" come blocco speciale","Regras rígidas com blocos ""lixo"" e ""caos"". Além disso, apenas o bloco especial ""laser"" está disponível.",
TA_CUSTOM,TA_CUSTOM,Custom,Custom,Personalizado,
RANDOM_MIXES,RANDOM_MIXES,Random music mixes,Randomizza il Mix,Mixes de música aleatórias,
RANDOM_MIXES_DESC,RANDOM_MIXES_DESC,Randomize music/scenery mixes to make process less repetitive (Custom time limit always uses standard mix),Randomizza la musica e lo scenario per rendere il processo meno ripetitivo (tempo limite personalizzato usa sempre il mix standard),Mistura musicas/senários aleatoriamente para fazer o processo menos repetitivo (o intervalo de tempo personalizado usa sempre a mix padrão),
SAVE_ONLINE_SCORE,SAVE_ONLINE_SCORE,Save scores online,Salva punteggi online,Save scores online,
SAVE_ONLINE_SCORE_DESC,SAVE_ONLINE_SCORE_DESC,"If disabled, scores won't be published to online leaderboards and will only be saved to local leaderboard","Se disabilitato, i punteggi non verranno pubblicati nella leaderboard online e verranno salvati solo in quella locale","If disabled, scores won't be published to online leaderboards and will only be saved to local leaderboard",
TA_START,TA_START,Start,Inizia,Começar,
TA_START_DESC,TA_START_DESC,Start time attack session.,Inizia la sessione,Começar seção de ataque ao tempo.,
TA_HIGHSCORE,TA_HIGHSCORE,HIGHEST SCORE :,RECORD :,PONTUAÇÃO MAIS ALTA:,
TA_AVERAGE,TA_AVERAGE,AVERAGE SCORE :,PUNTEGGIO MEDIO :,MEDIA DE PONTUAÇÕES:,
TA_ARROW1,TA_ARROW1,GAME SETUP,IMPOSTAZIONE GIOCO,CONFIGURAÇÃO DO JOGO,
TA_ARROW2,TA_ARROW2,SELECTED MODE STATISTICS,STATISTICHE DELLA MODALITÀ SELEZIONATA,ESTATÍSTICAS DO MODO SELECIONADO,
TA_ARROW3,TA_ARROW3,DESCRIPTION,DESCRIZIONE,DESCRIÇAO,
TA_ARROW4,TA_ARROW4,SCORE RANKING,CLASSIFICA,TABELA CLASSIFICATIVA DE PONTUAÇÃO,
TA_LOCAL,TA_LOCAL,LOCAL,LOCALE,LOCAL,
TA_LOCAL_DESC,TA_LOCAL_DESC,Show local leaderboard.,Vedi leaderboard locale,Mostrar a tabela de classificação local.,
TA_ONLINE,TA_ONLINE,ONLINE,ONLINE,ONLINE,
TA_TOTAL,TA_TOTAL,TOTAL,MONDIALE,TOTAL,
TA_TOTAL_DESC,TA_TOTAL_DESC,Show online total leaderboard.,Vedi leaderboard online mondiale,Mostrar a tabela de classificação total online.,
TA_MONTHLY,TA_MONTHLY,MONTHLY,MENSILE,MENSAL,
TA_MONTHLY_DESC,TA_MONTHLY_DESC,Show online monthly leaderboard.,Vedi leaderboard online di questo mese,Mostrar a tabela de classificação online mensal.,
TA_WEEKLY,TA_WEEKLY,WEEKLY,SETTIMANALE,SEMANAL,
TA_WEEKLY_DESC,TA_WEEKLY_DESC,Show online weekly leaderboard.,Vedi leaderboard online di questa settimana,Mostrar a tabela de classificação online semanal.,
TA_RESET_IN,TA_RESET_IN,RESET IN :,RESET IN :,RIENICIA EM:,
TA_NOT_AVAIABLE,TA_NOT_AVAIABLE,SCORE RANKING IS NOT AVAIABLE IN CUSTOM SEC MODE...,LEADERBOARD NON DISPONIBILE PER NUMERO DI SECONDI PERSONALIZZATO…,TABELA CLASSIFICATIVA NÃO DISPONIVEL PARA TEMPO PERSONALIZADO...,
TA_REPLAY_DIALOG,TA_REPLAY_DIALOG,Do you want to play this player record replay?,Vuoi vedere questo replay del record ottenuto dal giocatore?,Queres reproduzir esta repetição de jogo deste jogador?,
,,,,,
-Synthesia mode menu-,,,,,
SELECT_VISUALIZER,SELECT_VISUALIZER,Select visualizer design,Seleziona design del visualizzatore,Seleciona o design do visualizador,
SHOCKWAVE_FANCY,SHOCKWAVE_FANCY,SHOCKWAVE (FANCY),SCOSSE (DETTAGLIATO),ONDA DE CHOQUE (CHIQUE),
SHOCKWAVE_FANCY_DESC,SHOCKWAVE_FANCY_DESC,Rainbow trippy shockwave which shakes with the beat of music.,Scosse multicolore che si amplificano a ritmo della musica,Onda de choque arco-íris alucinante que treme com a batida da música.,
SHOCKWAVE_SIMPLE,SHOCKWAVE_SIMPLE,SHOCKWAVE (SIMPLE),SCOSSE (SEMPLICE),ONDA DE CHOQUE (SIMPLES),
SHOCKWAVE_SIMPLE_DESC,SHOCKWAVE_SIMPLE_DESC,Simplier version of the Shockwave background with better performance.,Versione semplice dello sfondo a scosse con performance migliore,Versão simplificada da onda de choque de fundo com melhor desempenho.,
EDEN,EDEN,EDEN,EDEN,EDEN,
EDEN_DESC,EDEN_DESC,Background inspired by the stage select animation from the game Rez.,Sfondo ispirato alla selezione stage di Rez,Plano de fundo inspirado no menu de seleção de etapa do jogo Rez.,
SELECT_SOUND,SELECT_SOUND,Select sound set,Seleziona set di suoni,Seleciona o conjunto de som,
DRUMS,DRUMS,DRUMS,PERCUSSIONI,BATERIA,
DRUMS_DESC,DRUMS_DESC,Sound set based on various drum sets.,Set basato su diversi set di percussioni elettroniche,Conjunto de som baseado em váiros sons de bateria,
RETRO,RETRO,PIXEL,PIXEL,PIXEL,
RETRO_DESC,RETRO_DESC,Sound set featuring 8-bit samples made with BFXR.,Set di sample 8-bit prodotti con BFXR,Conjunto de som com samples 8-bit feitos com BFXR,
SYNTHESIA_HELP1,SYNTHESIA_HELP1,Put some music files into your system music library folder to play.,Metti un po' di file di musica nella tua libreria musicale del tuo computer da giocare.,Coloca alguns ficheiros de som na tua paste de biblioteca de sons para reproduzir,
SYNTHESIA_HELP2,SYNTHESIA_HELP2,"Only .ogg, .mp3 and .wav files are supported.",Solo .ogg .mp3 e .wav sono compatibili,"Apenas ficheiros .ogg, .mp3 e .wav são suportados",
OTHER_SETTINGS,OTHER_SETTINGS,Other settings,Altre impostazioni,Outras definições,
PLAY_INFINITE,PLAY_INFINITE,PLAY INFINITELY,GIOCA INFINITAMENTE,REPRODUZ INFINITAMENTE,
PLAY_INFINITE_DESC,PLAY_INFINITE_DESC,Play the song infinitely instead of the game ending when the song ends.,Metti in loop la canzone invece di far finire il gioco quando finisce,Reproduz musica infinitamente ao invés de acabar o jogo quando a musica acaba,
PRECISE_BPM,PRECISE_BPM,PRECISE BPM CALCULATION,BPM PRECISO,CALCULO PRECISO DO BPM,
PRECISE_BPM_DESC,PRECISE_BPM_DESC,"Calculate the song’s BPM in the most accurate way. This may take a while, as the entire song will be scanned.",Calcola il BPM nel modo più accurato possibile. Potrebbe metterci molto tempo dato che scannerizza l'intera canzone,Calcula o BPM da musica com rigor. Pode demorar muitos pois irá analisar a musica toda,
SYNTHESIA_ARROW1,SYNTHESIA_ARROW1,MUSIC LIST,LISTA MUSICA,LISTA DE MUSICA,
SYNTHESIA_ARROW2,SYNTHESIA_ARROW2,DESCRIPTION,DESCRIZIONE,DESCRIÇÃO,
SYNTHESIA_ARROW3,SYNTHESIA_ARROW3,MENU,MENU,MENU,
ENTER_DIR,ENTER_DIR,Enter to view this directory contents,Vedi contenuti della directory,entra para veres os conteúdos deste diretório,
ENTER_PLAY,ENTER_PLAY,Start the game with this song,Inizia la partita con questa canzone,Começar jogo com esta música,
BACK_DIR,BACK_DIR,Return back into upper directory,Ritorna alla directory precedente,Voltar para o diretório superior,
,,,,,
-Accept dialog-,,,,,
SELECT_OPTION,SELECT_OPTION,Select option,Seleziona opzione,Selecionar opção,
YES,YES,Yes,Sì,Sim,
NO,NO,No,No,Não,
DIALOG_ARROW,DIALOG_ARROW,CONFIRMATION DIALOG,DIALOGO DI CONFERMA,DIALOGO DE CONFIRMAÇÃO,
,,,,,
-Input dialog-,,,,,
INPUT_TEXT,INPUT_TEXT,Input text here,Digitare il testo qui,Introduz texto aqui,
INPUT_CANCEL,INPUT_CANCEL,Press ESC to cancel,Premere ESC per annullare,Pressiona esc para cancelar,
INPUT_ARROW,INPUT_ARROW,TEXT INPUT,INPUT DI TESTO,ENTRADA DE TEXTO,
,,,,,
-Playlist load-,,,,,
SELECT_PLAYLIST,SELECT_PLAYLIST,Select playlist to load,Seleziona playlist da caricare,Seleciona uma lista de reprodução para carregar,
PLAYLIST_LOAD_CANCEL,PLAYLIST_LOAD_CANCEL,Cancel and return to the playlist mode menu.,Annulla caricamento e ritorna al menu della playlist,Cancelar carregamento e voltar para o menu das listas de reprodução,
PLAYLIST_LOAD_ARROW,PLAYLIST_LOAD_ARROW,PLAYLIST LOAD,CARICA PLAYLIST,CARREGAR LISTA DE REPRODUÇÃO,
NO_PLAYLISTS,NO_PLAYLISTS,No playlists found!,Nessuna playlist trovata!,Nenhuma lista de reprodução encontrada!,
THIS_PLAYLIST,THIS_PLAYLIST,Load selected playlist.,Carica playlist selezionata,Carregar lista de reprodução selecionada.,
FAILED_PLAYLIST,FAILED_PLAYLIST,LOAD FAILED :,CARICAMENTO FALLITO :,CARREGAMENTO FALHADO :,
CORRUPT_PLAYLIST,CORRUPT_PLAYLIST,INVALID PLAYLIST DATA :,DATI PLAYLIST INVALIDI :,LISTA DE REPRODUÇÃO INVALIDA :,
,,,,,
-Preset load-,,,,,
SELECT_PRESET,SELECT_PRESET,Select gameplay preset to load,Seleziona una configurazione da caricare,Seleciona uma pré definição de jogo para carregar,
PRESET_LOAD_CANCEL,PRESET_LOAD_CANCEL,Cancel and return to the game configuration menu.,Annulla caricamento e ritorna al menu di configurazione,Cancelar carregamento e voltar ao menu de configuração de jogo,
PRESET_LOAD_ARROW,PRESET_LOAD_ARROW,PRESET LOAD,CARICA CONFIGURAZIONE,CARREGAR PRÉ DEFINIçÂO,
NO_PRESETS,NO_PRESETS,No presets found!,Nessuna configurazione trovata!,Nenhuma pré definição encontrada!,
THIS_PRESET,THIS_PRESET,Load selected preset.,Carica configurazione selezionata,Carregar pré definição selecionada,
FAILED_PRESET,FAILED_PRESET,LOAD FAILED :,CARICAMENTO FALLITO :,CARREGAMENTO FALHADO :,
CORRUPT_PRESET,CORRUPT_PRESET,INVALID PRESET DATA :,DATI CONFIGURAZIONE INVALIDI :,PRÉ DEFINIÇÃO INVALIDA :,
,,,,,
-Button layout-,,,,,
LAYOUT_SELECT,LAYOUT_SELECT,SELECT,SELEZIONA,SELECIONAR,
LAYOUT_ENTER,LAYOUT_ENTER,ENTER,CONFERMA,APLICAR,
LAYOUT_BACK_TO_PREV,LAYOUT_BACK_TO_PREV,RETURN TO PREVIOUS SCREEN,RITORNA AL MENU PRECEDENTE,RECUAR PARA O ECRÃ ANTERIOR,
LAYOUT_CHANGE_INPUT,LAYOUT_CHANGE_INPUT,CHANGE INPUT,CAMBIA INPUT,MUDAR ENTRADA,
LAYOUT_ADD_SKIN,LAYOUT_ADD_SKIN,ADD THIS SKIN TO A PLAYLIST,AGGIUNGI QUESTA SKIN ALLA PLAYLIST,ADICIONAR ESTA SKIN Á LISTA DE REPRODUÇÃO,
LAYOUT_PLAY_SKIN,LAYOUT_PLAY_SKIN,PLAY THIS SKIN,GIOCA QUESTA SKIN,REPRODUZIR ESTA SKIN,
LAYOUT_SWAP_SKIN,LAYOUT_SWAP_SKIN,SWAP THIS SKIN,SCAMBIA QUESTA SKIN,TROCAR SKIN,
LAYOUT_REMOVE_SKIN,LAYOUT_REMOVE_SKIN,REMOVE THIS SKIN FROM A PLAYLIST,RIMUOVI QUESTA SKIN DALLA PLAYLIST,REMOVER ESTA SKIN DA LISTA DE REPRODUÇÃO,
LAYOUT_SLIDER,LAYOUT_SLIDER,CHANGE SLIDER VALUE,TRASCINA,MUDAR O VALOR DO CONTROLO DESLIZANTE,
LAYOUT_EXIT,LAYOUT_EXIT,EXIT FROM THE GAME,ESCI DAL GIOCO,SAIR DO JOGO,
LAYOUT_TOGGLE,LAYOUT_TOGGLE,TOGGLE ON/OFF,ABILITA/DISABILITA,LIGAR/DESLIGAR,
LAYOUT_PLAY_SONG,LAYOUT_PLAY_SONG,PLAY WITH THIS SONG,GIOCA CON QUESTA CANZONE,JOGAR COM ESTA MÚSICA,
LAYOUT_TIME_LIMIT,LAYOUT_TIME_LIMIT,CHOOSE THIS TIME LIMIT,SELEZIONA QUESTO TEMPO LIMITE,ESCOLHER ESTE LIMITE DE TEMPO,
LAYOUT_PROFILE,LAYOUT_PROFILE,CHOOSE THIS PROFILE,SELEZIONA QUESTO PROFILO,ESCOLHER ESTE PERFIL,
LAYOUT_SCROLL,LAYOUT_SCROLL,SCROLL UP/DOWN,VAI SU/GIÙ,DESLIZAR PARA CIMA/BAIXO,
LAYOUT_BACK_TO_GAME,LAYOUT_BACK_TO_GAME,RETURN TO THE GAME,RIPRENDI,VOLTAR AO JOGO,
LAYOUT_BACK_TO_MENU,LAYOUT_BACK_TO_MENU,RETURN TO THE MENU,RITORNA NEL MENU,VOLTAR PARA O MENU,
,,,,,
-Menu Misc-,,,,,
BACK,BACK,Back,Indietro,Recuar,
BACK_PREV_DESC,BACK_PREV_DESC,Return to previous menu screen.,Ritorna al menu precedente,Voltar para o ecrã anterior de menu,
BACK_MENU_DESC,BACK_MENU_DESC,Return to main menu.,Ritorna al menu principale,Voltar ao menu principal,
OK,OK,Ok,Ok,Ok,
ON,ON,ON,ON,LIGADO,
OFF,OFF,OFF,OFF,DESLIGADO,
,,,,,
-Game UI-,,,,,
SCORE,SCORE,SCORE,PUNTEGGIO,PONTOS,
HI_SCORE,HI_SCORE,HI-SCORE,RECORD,RECORDE,
LEVEL,LEVEL,LEVEL,LIVELLO,NÍVEL,
TIME,TIME,TIME,TEMPO,TEMPO,
DELETED,DELETED,DELETED,ELIMINATO,APAGADOS,
COMBO,COMBO,COMBO,COMBO,COMBO,
BONUS,BONUS,BONUS,BONUS,BÓNUS,
NEXT,NEXT,NEXT,PROSSIMO,PROXÍMO,
,,,,,
-Playlist mode pause-,,,,,
PAUSED,PAUSED,PAUSED,PAUSA,EM PAUSA,
CONTINUE,CONTINUE,Continue,Continua,Continuar,
CONTINUE_DESC,CONTINUE_DESC,Continue the game.,Riprendi la partita,Continuar a jogar,
RESTART,RESTART,Restart,Ricomincia,Reiniciar,
RESTART_DESC,RESTART_DESC,Restart the game from the beginning.,Ricomincia dall'inizio,Reiniciar o jogo do início,
PAUSE_EXIT,PAUSE_EXIT,Exit to menu,Esci dal menu,Sair do menu,
PLAYLIST_PAUSE_EXIT_DESC,PLAYLIST_PAUSE_EXIT_DESC,End the game and return to the playlist mode menu.,Esci dalla partita e ritorna al menu playlist,Finalizar o jogo e voltar ao menu playlist,
SYNTHESIA_PAUSE_EXIT_DESC,SYNTHESIA_PAUSE_EXIT_DESC,End the game and return to the synthesia mode menu.,Esci dalla partita e ritorna al menu synthesia,Finalizar o jogo e voltar ao menu modo sinestesia,
PAUSE_ARROW,PAUSE_ARROW,PAUSE MENU,MENU DI PAUSA,MENU DE PAUSA,
,,,,,
-Time attack pause-,,,,,
TA_RETRY,TA_RETRY,Retry,Riprova,Tentar novamente,
TA_RETRY_DESC,TA_RETRY_DESC,Retry time attack attempt.,Riprova tentativo,Tentar novamente ataque ao tempo,
TA_PAUSE_EXIT_DESC,TA_PAUSE_EXIT_DESC,End the game and return to the time attack mode menu.,Esci dalla partita e ritorna al menu sfida a tempo,Terminar jogo e voltar ao menu do modo ataque ao tempo,
,,,,,
-Playlist mode gameover-,,,,,
GAMEOVER,GAMEOVER,GAME OVER,GAME OVER,FIM DE JOGO,
END_SCORE,END_SCORE,Score,Punteggio,Pontos,
END_DELETED,END_DELETED,Deleted,Eliminato,Apagados,
BLOCKS,BLOCKS,Blocks,Blocchi,Blocos,
SQAURES,SQAURES,Squares,Quadrati,Quadrados,
REACHED,REACHED,Reached,Raggiunto,Alcançado,
LAP,LAP,Lap,Giro,Volta,
STAGE,STAGE,Stage,Stage,Etapa,
END_LEVEL,END_LEVEL,Level,Livello,Nível,
TIME_SPENT,TIME_SPENT,Time spent,Tempo speso,Tempo de jogo,
PLAYLIST_END_ARROW1,PLAYLIST_END_ARROW1,RESULTS SCREEN,RISULTATI,ECRÃ DE RESULTADOS,
PLAYLIST_END_ARROW2,PLAYLIST_END_ARROW2,GAME OVER MENU,MENU DI GAME OVER,MENU DE FIM DO JOGO,
SAVE_REPLAY,SAVE_REPLAY,Save replay,Salva replay,Salvar repetição,
SAVE_REPLAY_DIALOG,SAVE_REPLAY_DIALOG,Enter replay name,Inserisci nome replay,Introduz o nome da repetição,
SAVE_REPLAY_DESC,SAVE_REPLAY_DESC,Save replay of this game to watch later or share with others.,Salva replay di questo gioco da guardare più tardi o condividere con gli altri,Salva a repetição para a veres mais tarde ou partilhar.,
SAVE_REPLAY_ERROR1,SAVE_REPLAY_ERROR1,Play single standard skin to enable replay recording.,Gioca una skin standard per iniziare a registrare,Play single standard skin to enable replay recording.,
SAVE_REPLAY_ERROR2,SAVE_REPLAY_ERROR2,Game rules were changed during replay recording.,Le regole di gioco sono state cambiate durante la registrazione del replay,Regras de jogo foram alteradas durante a gravação da repetição,
SAVE_REPLAY_ERROR3,SAVE_REPLAY_ERROR3,Replay recording time exceeded.,Tempo massimo di registrazione raggiunto,Tempo de repetição excedido,
SAVE_REPLAY_ERROR4,SAVE_REPLAY_ERROR4,This gamemode is not supported for replay recording.,Questa modalità non è compatibile per la registrazione di un replay,A gravação de repetição não é suportada neste modo de jogo.,
,,,,,
-Time attack gameover-,,,,,
TA_RESULTS,TA_RESULTS,TIME ATTACK RESULTS,RISULTATI DELLA SFIDA A TEMPO,RESULTADOS DO ATAQUE AO TEMPO,
TA_FAILED,TA_FAILED,TIME ATTACK FAILED!,TENTATIVO NON RIUSCITO!,ATAQUE AO TEMPO FALHADO,
DELETED_COUNT,DELETED_COUNT,Deleted squares count,Quadrati cancellati,Número de blocos apagados,
SQUARES_PER_SWEEP,SQUARES_PER_SWEEP,Squares per sweep,Quadrati per passaggio,Quadrados por passagem,
TA_SQUARE,TA_SQUARE,Square,Quadrati,Quadrado,
TA_TIME,TA_TIME,Time,Tempo,Tempo,
TA_THIS_ATTEMPT,TA_THIS_ATTEMPT,This attempt,Questo tentativo,Esta tentativa,
TA_2ATTEMPT,TA_2ATTEMPT,2nd attempt,2° tentativo,2.ª tentativa,
TA_3ATTEMPT,TA_3ATTEMPT,3rd attempt,3° tentativo,3.ª tentativa,
TA_4ATTEMPT,TA_4ATTEMPT,4th attempt,4° tentativo,4.ª tentativa,
TA_5ATTEMPT,TA_5ATTEMPT,5th attempt,5° Tentativo,5.ª tentativa,
TA_6ATTEMPT,TA_6ATTEMPT,6th attempt,6° Tentativo,6.ª tentativa,
TA_NEW_RECORD,TA_NEW_RECORD,NEW RECORD!,NUOVO RECORD!,NOVO RECORDE!,
TA_SCORE,TA_SCORE,Score :,Punteggio,Pontuação:,
PREV_SCORES,PREV_SCORES,Previous scores:,Punteggi precedenti:,Pontuações anteriores:,
AVERAGE_SQUARES,AVERAGE_SQUARES,Average squares per sweep:,Quadrati per passaggio in media:,Média de quadrados por passagem:,
TOTAL_PIECES,TOTAL_PIECES,Total pieces used:,Pezzi utilizzati in totale:,Total de peças usadas:,
AVERAGE_ATTEMPTS,AVERAGE_ATTEMPTS,Average score:,Punteggio medio:,Pontuação média:,
ATTEMPTS_COUNT,ATTEMPTS_COUNT,Current attempts count:,Numero tentativi:,Número de tentativas atuais:,
CURRENT_SEED,CURRENT_SEED,Current attempt seed:,Seed di questo tentativo:,Semente da tentativa atual:,
TA_END_ARROW1,TA_END_ARROW1,MENU | DESCRIPTION,MENU | DESCRIZIONE,MENU | DESCRIÇÃO,
TA_END_ARROW2,TA_END_ARROW2,STATISTICS GRAPHS,DIAGRAMMI CARTESIANI,GRÁFICO DAS ESTATÍSTICAS,
TA_RESULTS,TA_RESULTS,RESULTS,RISULTATI,RESULTADOS,
,,,,,
-Skin editor-,,,,,
SE_WELCOME,SE_WELCOME,"Welcome to the Project Luminext skin editor! If you come here by mistake, press the cancel button to exit. Check the Project Luminext GitHub wiki to find a skin making manual and an asset source archive","Benvenuto nell'editor di skin di Project Luminext! Se sei arrivato qui per sbaglio, premi CANC per uscire. Vedi la pagina Github wiki per utilizzare il manuale di creazione skin e usare assets dall'archivio.","Bem vindo ao editor de skin do Project Luminext! Se chegares aqui por engano, prime o botão cancelar para sair. Consulta a wiki do Project Luminext GitHub para encontrar o manual de criação de skins e o ficheiro de fontes de ativos.",
SE_METADATA,SE_METADATA,METADATA,METADATI,METADADOS,
SE_COVER,SE_COVER,COVER ART,COPERTINA,ARTE DA CAPA,
SE_COVER_DESC,SE_COVER_DESC,Skin cover art. Size : 512x512.,Copertina della skin. Dimensione: 512×512,Arte da capa da skin. Size : 512x512.,
SE_LABEL,SE_LABEL,LABEL ART,ETICHETTA,ARTE DA ETIQUETA,
SE_LABEL_DESC,SE_LABEL_DESC,Skin label art. Size: 512x128.,Etichetta della skin. Dimensione: 512×64,Arte da etiqueta da skin. Tamanho: 512x128.,
SE_NAME,SE_NAME,SKIN NAME,NOME SKIN,NOME DA SKIN,
SE_NAME_DESC,SE_NAME_DESC,Skin name. This will also be the name of the .skn file.,Nome della skin. Verrà usato per fare il nome del file,Nome da skin. Vai se usado no nome do ficheiro da skin.,
SE_ALBUM,SE_ALBUM,ALBUM,ALBUM,ÁLBUM,
SE_ALBUM_DESC,SE_ALBUM_DESC,Skin album. Will be used to put this skin in own category (album) inside skin list.,Album della skin. Verrà usato per mettere la skin nell'album digitato dentro la lista,Album da skin. Vai ser usado para colocar a skin na sua categoria (álbum) dentro da lista de skins.,
SE_ARTIST,SE_ARTIST,MUSIC ARTIST,ARTISTA,ARTISTA MUSICAL,
SE_ARTIST_DESC,SE_ARTIST_DESC,Music artist.,Artista musicale,Artista musical,
SE_NUMBER,SE_NUMBER,NUMBER IN ALBUM :,NUMERO NELL'ALBUM,NUMERO NO ÁLMBUM :,
SE_NUMBER_DESC,SE_NUMBER_DESC,Number in album. Used to sort skins inside each album.,Ordine nell'album,Numero no album. Usado para ordenar a skin do álbum.,
SE_BPM,SE_BPM,BPM :,BPM:,BPM :,
SE_BPM_DESC,SE_BPM_DESC,Skin/song BPM. Defines timeline and some animations speed. Can be fractional number like: 145.23.,"Definisce la velocità della timeline e delle animazioni. Può essere frazionario come: 145,23",BPM da skin/musica. Define a velocidade de passagem da linha do tempo e a de algumas animações. Pode ser um número fracionário como: 145.23.,
SE_MUSIC_LOOP,SE_MUSIC_LOOP,MUSIC LOOPING,LOOP MUSICA,REPETIÇÃO DE MÚSICA,
SE_MUSIC_LOOP_DESC,SE_MUSIC_LOOP_DESC,Makes music loop around current music sample (2 bars) when no square is erased yet.,Sospende la musica in un loop ad ogni passaggio se nessun quadrato è stato rimosso,Faz com que a secção em que musica está se repita (2 barras) se nenhum quadrado for apagado.,
SE_NO_BACK_MOVE,SE_NO_BACK_MOVE,NO BACKGROUND MOVEMENT,SFONDO STATICO,NENHUM MOVIMENTO DE FUNDO,
SE_NO_BACK_MOVE_DESC,SE_NO_BACK_MOVE_DESC,Disable background movement option for this skin.,Disabilita lo sfondo in movimento per questa skin,Desativa a opção de movimento de fundo para esta skin.,
SE_ZOOM_BACK,SE_ZOOM_BACK,ZOOM BACKGROUND,SFONDO ZOOMATO,AMPLIAR FUNDO,
SE_ZOOM_BACK_DESC,SE_ZOOM_BACK_DESC,"Increase background scale when background movement option is enabled, so you can hide out of bounds things.","Aumenta la scala dello sfondo, nascondendo ciò che è al di fuori dello schermo (Funziona solo se Sfondo statico e messo su OFF)","Aumenta a escala do fundo quando a opção de movimentos de fundo está ativada, para que possas esconder as bordas.",
SE_RANDOM_BONUS,SE_RANDOM_BONUS,RANDOM BONUS ANIMATION,ANIMAZIONE BONUS CASUALE,ANIMAÇÕES ALETORIAS BÓNUS,
SE_RANDOM_BONUS_DESC,SE_RANDOM_BONUS_DESC,Do random scenery bonus animations from start instead of sequential.,Rendi casuale le animazioni del bonus anziché in sequenza,Apresenta animações de senário bónus aleatoriamente ao invés de ordenadamente.,
SE_EDIT_HISTORY,SE_EDIT_HISTORY,SKIN EDIT HISTORY,STORIA MODIFICHE,HISTORICO DE EDIÇÃO,
SE_EDIT_HISTORY_DESC,SE_EDIT_HISTORY_DESC,Shows every saved skin edit date and editor name.,Mostra ogni salvataggio della skin nell'editor e il suo nome,Mostra as datas e o nome do editor de todas as edições de skin salvas,
SE_ABOUT,SE_ABOUT,ABOUT INFO,INFO,DETALHES,
SE_ABOUT_DESC,SE_ABOUT_DESC,Skin description/about text. Write here whatever you want.,Descrizione riguardo alla skin. Scrivi quello che vuoi qui,Descrição/detalhes da skin. Escreve aqui o que quiseres,
SE_VISUALS,SE_VISUALS,VISUALS,VISUALI,VISUAIS,
SE_SPRITES,SE_SPRITES,SPRITES,SPRITES,IMAGENS,
SE_RED_DESC,SE_RED_DESC,"Red block texture. Size: 64x64. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture del blocco rosso. Dimensioni: 64×64. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de bloco vermelho. Tamanho: 64x64. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_WHITE_DESC,SE_WHITE_DESC,"White block texture. Size: 64x64. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture del blocco bianco. Dimensioni: 64×64. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de bloco branco. Tamanho: 64x64. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_GREEN_DESC,SE_GREEN_DESC,"Green block texture. Size: 64x64. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture del blocco verde. Dimensioni: 64×64. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de bloco verde. Tamanho: 64x64. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_PURPLE_DESC,SE_PURPLE_DESC,"Purple block texture. Size: 64x64. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture del blocco viola. Dimensioni: 64×64. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de bloco roxo. Tamanho: 64x64. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
SE_RED_SPEC_DESC,SE_RED_SPEC_DESC,"Red special block texture. Size: 64x64. If horizontal sprite sheet is imported, texture will be animated. Amount of frames is calculated like this: image_length/image_height.","Texture del blocco rosso speciale. Dimensioni: 64×64. Se viene importato uno sprite sheet orizzontale, la texture sarà animata. Il numero di frame segue la formula: Larghezza immagine/Altezza immagine","Textura de bloco especial vermelho. Tamanho: 64x64. Se a folha da imagem for horizontal, a textura será animada. A quantidade de frames é calculada assim: image_length/image_height.",
